SID,DOB,DOT,Age,Sex,Location,Experimenter,Entered by,Language,Exclude,Exclude_reason,Knower_level,Counterbalance,Condition,Task,Trial_number,Task_item,Response,Correct,Counting/Number language,Notes,Exclude Trial,Exclude Trial Reason
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,Training,1,1,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,Training,2,2,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,1,4,4,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,2,3,3,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,3,8,8,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,4,6,6,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,5,10,10,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,NA,Neutral-Final Question,6,0,0,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Highest count,NA,Raw_string,1-100,NA,NA,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Highest count,NA,Highest_count,100,HELP,NA,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,1,3,3,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,2,4,4,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,3,5,5,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,4,6,6,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,5,6,6,1,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,6,NA,,HELP,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,7,NA,,HELP,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,8,NA,,HELP,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,9,NA,,HELP,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,10,NA,,HELP,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,11,NA,,HELP,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,12,NA,,HELP,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,13,NA,,HELP,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,14,NA,,HELP,,,,
121319-L,11/8/14,12/13/19,5.095140315,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,15,NA,,HELP,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Set-matching,Training,1,1,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Set-matching,Training,2,2,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Set-matching,1,3,3,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Set-matching,2,4,4,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Set-matching,3,10,12,0,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Set-matching,4,6,7,0,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Set-matching,5,8,11,0,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Set-matching,NA,Neutral-Final Question,IDK,0,0,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Highest count,NA,Raw_string,NA,NA,NA,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Highest count,NA,Highest_count,NA,HELP,NA,Child would not count,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,1,1,1,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,2,2,2,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,3,3,3,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,4,4,4,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,5,5,5,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,6,6,6,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,7,6,6,1,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,8,NA,,HELP,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,9,NA,,HELP,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,10,NA,,HELP,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,11,NA,,HELP,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,12,NA,,HELP,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,13,NA,,HELP,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,14,NA,,HELP,,,,
121319-A,5/4/15,12/13/19,4.610540726,F,Birch,RMS,RMS,English,1,Pilot,CP,A,NEUTRAL,Give_N,15,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,Training,1,1,1,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,Training,2,2,1,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,1,4,3,0,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,2,3,4,0,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,3,8,8,1,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,4,6,5,0,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,5,10,10,1,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,NA,Neutral-Final Question,13,0,0,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Highest count,NA,Raw_string,NA,NA,NA,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Highest count,NA,Highest_count,NA,HELP,NA,Would not count,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,1,3,3,1,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,2,4,4,1,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,3,5,5,1,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,4,6,6,1,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,5,6,6,1,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,6,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,7,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,8,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,9,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,10,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,11,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,12,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,13,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,14,NA,,HELP,,,,
121119-G,7/21/15,12/11/19,4.391512663,F,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,15,NA,,HELP,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Set-matching,Training,1,1,1,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Set-matching,Training,2,2,1,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Set-matching,1,3,5,0,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Set-matching,2,4,3,0,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Set-matching,3,10,11,0,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Set-matching,4,6,2,0,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Set-matching,5,8,6,0,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Set-matching,NA,Neutral-Final Question,11,0,1,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Highest count,NA,Raw_string,NA,NA,NA,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Highest count,NA,Highest_count,NA,HELP,NA,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,1,1,1,1,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,2,2,2,1,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,3,3,3,1,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,4,4,4,1,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,5,5,10,0,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,6,4,10,0,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,7,3,4,0,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,8,2,10,0,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,9,1,1,1,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,10,NA,,HELP,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,11,NA,,HELP,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,12,NA,,HELP,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,13,NA,,HELP,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,14,NA,,HELP,,,,
121119-A,6/22/16,12/11/19,3.468856947,F,Birch,RMS,RMS,English,1,NOT CP,1,A,NEUTRAL,Give_N,15,NA,,HELP,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Set-matching,Training,1,1,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Set-matching,Training,2,2,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Set-matching,1,3,3,1,1,"""next one is gonna be 4""",,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Set-matching,2,4,4,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Set-matching,3,10,10,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Set-matching,4,6,6,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Set-matching,5,8,8,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Set-matching,NA,Neutral-Final Question,10,0,0,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Highest count,NA,Raw_string,NA,NA,NA,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Highest count,NA,Highest_count,NA,HELP,NA,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,1,1,1,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,2,2,2,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,3,3,3,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,4,4,4,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,5,5,5,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,6,6,6,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,7,6,6,1,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,8,NA,,HELP,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,9,NA,,HELP,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,10,NA,,HELP,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,11,NA,,HELP,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,12,NA,,HELP,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,13,NA,,HELP,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,14,NA,,HELP,,,,
121119-T,1/31/14,12/11/19,5.859000684,M,Birch,RMS,RMS,RMS,1,TOO OLD,CP,A,NEUTRAL,Give_N,15,NA,,HELP,,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,Training,1,1,1,,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,Training,2,2,1,,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,1,4,4,1,,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,2,3,3,1,,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,3,8,6,0,,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,4,6,7,0,,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,5,10,10,1,,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Set-matching,NA,Neutral-Final Question,IDK,0,1,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Highest count,NA,Raw_string,1-19,NA,NA,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Highest count,NA,Highest_count,19,HELP,NA,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,1,1,1,1,,,,
121319-B,11/20/15,12/13/19,4.062970568,M,Birch,RMS,RMS,English,1,Pilot,CP,B,NEUTRAL,Give_N,2,2,2,1,,,,
