SID,Age,Sex,Experimenter,Entered by,Language,Exclude,Exclude_reason,Knower_level,Counterbalance,Condition,Task,Trial_number,Task_item,Response,Correct,Counting/Number language,Notes
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,5,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,6,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,7,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,8,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,9,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,10,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,11,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,12,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,13,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,14,NA,NA,NA,,
060619-V,3.039014374,F,AP,,English,1,Pilot,2,A,SHARING,Give_N,15,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,Training,1,1,1,0,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,Training,2,2,1,1,"""2 fishies!"""
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,1,4,8,0,0,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,2,3,10,0,0,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,3,6,15,0,0,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,4,5,15,0,0,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,5,8,15,0,0,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,6,10,15,0,1,"""not going to have all of them, just 2 and 3"""
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,7,9,12,0,1,"""not going to have all of them...not these 2"""
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Set-matching,8,7,12,0,1,"""not going to have all of them"""
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Highest count,NA,Raw_string,"1-12, 14, 16-20, 22, 24, 26, 24, 26, 25, 30",NA,NA,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Highest count,NA,Highest_count,12,NA,NA,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,1,3,9,0,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,2,2,10,0,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,3,1,1,1,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,4,2,5,0,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,5,1,1,1,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,6,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,7,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,8,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,9,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,10,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,11,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,12,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,13,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,14,NA,NA,NA,,
60619-CH,3.101984942,F,AP,,English,1,Pilot,1,B,SHARING,Give_N,15,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,Training,1,1,1,0,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,Training,2,2,1,0,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,1,3,3,1,0,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,2,4,3,0,0,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,3,7,6,0,0,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,4,10,10,1,1,"""I'm gonna put 3 on now"""
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,5,5,8,0,0,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,6,9,9,1,0,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,7,8,8,1,0,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Set-matching,8,6,8,0,0,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Highest count,NA,Raw_string,"1-10, 13, 14, 16-19, 17, 18",NA,NA,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Highest count,NA,Highest_count,10,NA,NA,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,1,1,4,0,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,2,2,4,0,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,3,1,4,0,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,4,2,4,0,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,5,1,5,0,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,6,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,7,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,8,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,9,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,10,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,11,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,12,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,13,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,14,NA,NA,NA,,
060419-CS,3.02532512,M,RMS,,English,1,Pilot,0,A,SHARING,Give_N,15,NA,NA,NA,,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,Training,1,1,1,0,"needed corrective feedback for two trials, gave 2 on first attempt and 2 on second attempt but 1 on third attempt"
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,Training,2,2,1,0,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,1,3,3,1,1,counted when placed first fist
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,2,4,4,1,1,"counted fish in experiementer's pond, counted as placed own fish"
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,3,7,7,1,0,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,4,10,11,0,0,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,5,5,5,1,0,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,6,9,9,1,0,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,7,8,8,1,0,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Set-matching,8,6,8,0,1,"said, ""one"" each time she placed a fish in her pond"
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Highest count,NA,Raw_string,10-Jan,NA,NA,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Highest count,NA,Highest_count,10,NA,NA,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,1,3,3,1,1,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,2,4,4,1,1,5->4
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,3,5,5,1,1,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,4,6,6,1,1,5->6
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,5,6,6,1,1,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,6,6,6,1,1,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,7,NA,NA,NA,,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,8,NA,NA,NA,,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,9,NA,NA,NA,,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,10,NA,NA,NA,,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,11,NA,NA,NA,,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,12,NA,NA,NA,,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,13,NA,NA,NA,,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,14,NA,NA,NA,,
060719-MV,3.110198494,F,AP,,English,1,Pilot,CP,A,MATCHING,Give_N,15,NA,NA,NA,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,Training,1,1,1,0,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,Training,2,2,1,0,"needed corrective feedback for two trials, gave 15 on first attempt and 1 on second attempt"
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,1,4,8,0,0,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,2,3,6,0,0,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,3,6,15,0,0,just grabbed big handfuls of fish
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,4,5,15,0,0,just grabbed big handfuls of fish
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,5,8,10,0,0,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,6,10,13,0,0,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,7,9,10,0,0,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,8,7,15,0,0,just grabbed big handfuls of fish
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Highest count,NA,Raw_string,"1-7, 4",NA,NA,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Highest count,NA,Highest_count,7,NA,NA,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,1,3,10,0,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,2,2,2,1,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,3,3,10,0,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,4,2,10,0,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,5,1,10,0,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,6,1,1,1,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,7,2,2,1,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,8,3,5,0,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,9,NA,NA,NA,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,10,NA,NA,NA,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,11,NA,NA,NA,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,12,NA,NA,NA,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,13,NA,NA,NA,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,14,NA,NA,NA,,
061119-RB,3.148528405,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,15,NA,NA,NA,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,Training,1,1,1,0,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,Training,2,2,1,0,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,1,4,3,0,0,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,2,3,4,0,0,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,3,6,6,1,0,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,4,5,4,0,0,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,5,8,15,0,0,accidentally switched order of this trial with trial 6
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,6,10,15,0,0,accidentally switched order of this trial with trial 5
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,7,9,15,0,0,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Set-matching,8,7,15,0,0,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Highest count,NA,Raw_string,"1-3, 6-10",NA,NA,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Highest count,NA,Highest_count,3,NA,NA,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,1,3,10,0,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,2,2,10,0,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,3,1,1,1,1,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,4,2,2,1,1,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,5,3,2,0,1,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,6,2,2,1,1,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,7,3,10,0,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,8,NA,NA,NA,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,9,NA,NA,NA,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,10,NA,NA,NA,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,11,NA,NA,NA,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,12,NA,NA,NA,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,13,NA,NA,NA,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,14,NA,NA,NA,,
061119-AB,4.087611225,F,AP,,English,1,Pilot,2,B,SHARING,Give_N,15,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,Training,1,1,1,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,Training,2,2,1,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,1,3,3,1,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,2,4,4,1,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,3,7,10,0,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,4,10,9,0,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,5,5,5,1,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,6,9,9,1,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,7,8,7,0,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Set-matching,8,6,6,1,0,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Highest count,NA,Raw_string,"1-5, 8",NA,NA,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Highest count,NA,Highest_count,5,NA,NA,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,1,3,3,1,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,2,4,10,0,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,3,3,3,1,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,4,4,10,0,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,5,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,6,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,7,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,8,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,9,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,10,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,11,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,12,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,13,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,14,NA,NA,NA,,
061119-LB,4.087611225,M,AP,,English,1,Pilot,3,A,MATCHING,Give_N,15,NA,NA,NA,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,Training,1,1,1,0,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,Training,2,2,1,0,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,1,4,6,0,0,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,2,3,3,1,1,"said, ""This is 1, 2, 3"" after placing fish"
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,3,6,5,0,0,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,4,5,4,0,0,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,5,8,4,0,0,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,6,10,14,0,0,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,7,9,11,0,0,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Set-matching,8,7,9,0,0,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Highest count,NA,Raw_string,"1-13, 16-20",NA,NA,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Highest count,NA,Highest_count,13,NA,NA,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,1,3,3,1,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,2,4,8,0,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,3,3,6,0,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,4,2,2,1,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,5,3,5,0,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,6,2,2,1,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,7,NA,NA,NA,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,8,NA,NA,NA,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,9,NA,NA,NA,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,10,NA,NA,NA,,
061219-WM,3.23613963,M,AP,,English,1,Pilot,2,B,MATCHING,Give_N,11,NA,NA,NA,,
