SID,Age,Sex,Experimenter,Entered by,Language,Exclude,Exclude_reason,Knower_level,Counterbalance,Condition,Task,Trial_number,Task_item,Response,Correct,Counting/Number language,Notes,Exclude Trial,Exclude Trial Reason
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,How Many,NA,7 - Answer_how_many,NA,NA,,Would not count,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,How Many,NA,7 - Num_objects_correctly_counted,NA,NA,,Would not count,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,How Many,NA,9 - Score,NA,NA,,Would not count,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,How Many,NA,9 - Num_counted_to,NA,NA,,Would not count,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,How Many,NA,9 - Answer_how_many,NA,NA,,Would not count,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,How Many,NA,9 - Num_objects_correctly_counted,NA,,,Would not count,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,1,1,1,1,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,2,2,2,1,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,3,3,4,0,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,4,2,2,1,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,5,1,1,1,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,6,2,2,1,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,7,NA,,HELP,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,8,NA,,HELP,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,9,NA,,HELP,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,10,NA,,HELP,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,11,NA,,HELP,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,12,NA,,HELP,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,13,NA,,HELP,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,14,NA,,HELP,,,,
111419-M,3.79192334,F,RMS,RMS,English,1,"Pilot, DNF",2,NA,PRIMING,Give_N,15,NA,,HELP,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Set-matching,Training,1,1,1,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Set-matching,Training,2,2,1,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Set-matching,1,3,3,1,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Set-matching,2,4,3,0,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Set-matching,3,8,5,0,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Set-matching,4,6,8,0,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Set-matching,5,10,7,0,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Set-matching,NA,Neutral-Final Question,5,0,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Highest count,NA,Raw_string,4-Jan,NA,NA,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Highest count,NA,Highest_count,4,HELP,NA,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,How Many,NA,7 - Score,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,How Many,NA,7 - Num_counted_to,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,How Many,NA,7 - Answer_how_many,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,How Many,NA,7 - Num_objects_correctly_counted,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,How Many,NA,9 - Score,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,How Many,NA,9 - Num_counted_to,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,How Many,NA,9 - Answer_how_many,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,How Many,NA,9 - Num_objects_correctly_counted,NA,,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,1,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,2,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,3,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,4,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,5,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,6,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,7,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,8,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,9,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,10,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,11,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,12,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,13,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,14,NA,NA,NA,,,,
112119-H,3.214236824,F,RMS,RMS,English,1,"Pilot, DNF",2,A,NEUTRAL,Give_N,15,NA,NA,NA,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,Training,1,1,1,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,Training,2,2,1,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,1,3,3,1,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,2,4,4,1,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,3,10,10,1,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,4,6,7,0,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,5,8,9,0,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Set-matching,NA,Neutral-Final Question,NA,NA,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Highest count,NA,Raw_string,"1-9, 5, 6",NA,NA,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Highest count,NA,Highest_count,9,HELP,NA,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,How Many,NA,7 - Score,3,NA,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,How Many,NA,7 - Num_counted_to,7,0,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,How Many,NA,7 - Answer_how_many,counted again,0,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,How Many,NA,7 - Num_objects_correctly_counted,7,NA,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,How Many,NA,9 - Score,1,NA,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,How Many,NA,9 - Num_counted_to,8,NA,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,How Many,NA,9 - Answer_how_many,counted again,0,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,How Many,NA,9 - Num_objects_correctly_counted,3,,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,1,1,1,#REF!,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,2,2,2,1,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,3,3,3,1,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,4,4,3,0,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,5,3,4,0,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,6,2,2,1,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,7,3,3,1,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,8,4,9,0,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,9,3,4,0,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,10,NA,,HELP,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,11,NA,,HELP,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,12,NA,,HELP,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,13,NA,,HELP,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,14,NA,,HELP,,,,
112219-I,2.997946612,F,RMS,RMS,English,0,Pilot,2,A,EXPLICIT,Give_N,15,NA,,HELP,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,Training,1,1,1,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,Training,2,2,1,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,1,4,5,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,2,3,3,1,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,3,8,7,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,4,6,8,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,5,10,6,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Set-matching,NA,Neutral-Final Question,NA,NA,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Highest count,NA,Raw_string,"1-3, 1-4, 4-9",NA,NA,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Highest count,NA,Highest_count,9,HELP,NA,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,How Many,NA,7 - Score,1,NA,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,How Many,NA,7 - Num_counted_to,9,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,How Many,NA,7 - Answer_how_many,counted again,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,How Many,NA,7 - Num_objects_correctly_counted,7,NA,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,How Many,NA,9 - Score,1,NA,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,How Many,NA,9 - Num_counted_to,10,1,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,How Many,NA,9 - Answer_how_many,counted again,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,How Many,NA,9 - Num_objects_correctly_counted,6,,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,1,1,1,1,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,2,2,4,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,3,1,1,1,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,4,2,3,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,5,1,1,1,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,6,2,4,0,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,7,NA,,HELP,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,8,NA,,HELP,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,9,NA,,HELP,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,10,NA,,HELP,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,11,NA,,HELP,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,12,NA,,HELP,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,13,NA,,HELP,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,14,NA,,HELP,,,,
112219-R,2.973305955,M,RMS,RMS,English,0,Pilot,1,B,EXPLICIT,Give_N,15,NA,,HELP,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,Training,1,1,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,Training,2,2,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,1,3,3,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,2,4,4,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,3,10,11,0,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,4,6,6,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,5,8,11,0,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Set-matching,NA,Neutral-Final Question,NA,NA,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Highest count,NA,Raw_string,"1-14, 16-20",NA,NA,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Highest count,NA,Highest_count,20,HELP,NA,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,How Many,NA,7 - Score,3,NA,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,How Many,NA,7 - Num_counted_to,7,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,How Many,NA,7 - Answer_how_many,7,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,How Many,NA,7 - Num_objects_correctly_counted,7,NA,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,How Many,NA,9 - Score,3,NA,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,How Many,NA,9 - Num_counted_to,9,0,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,How Many,NA,9 - Answer_how_many,9,0,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,How Many,NA,9 - Num_objects_correctly_counted,9,,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,1,1,1,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,2,2,2,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,3,3,3,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,4,4,4,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,5,5,5,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,6,6,6,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,7,6,6,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,8,6,6,1,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,9,NA,,HELP,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,10,NA,,HELP,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,11,NA,,HELP,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,12,NA,,HELP,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,13,NA,,HELP,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,14,NA,,HELP,,,,
112219-D,4.41889117,M,RMS,RMS,English,0,Pilot,CP,A,EXPLICIT,Give_N,15,NA,,HELP,,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,Training,1,1,1,,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,Training,2,2,1,,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,1,4,4,1,,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,2,3,3,1,,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,3,8,8,1,,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,4,6,6,1,,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,5,10,10,1,,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Set-matching,NA,Neutral-Final Question,NA,NA,,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Highest count,NA,Raw_string,"1-10, 11, 12, 14, 14, 16, 21-30",NA,NA,,,
112219-M,4.109514031,F,RMS,RMS,English,0,Pilot,CP,B,EXPLICIT,Highest count,NA,Highest_count,30,HELP,NA,,,
